1,"accès_page : http://followmystudent.test/front/questionnaire",82.252.131.199,Bezons,France,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",,6,2020-11-05T08:34:25.000000Z,2020-11-05T08:34:25.000000Z
2,"accès_page : http://followmystudent.test/front/offres",82.252.131.199,Bezons,France,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",,6,2020-11-05T08:34:27.000000Z,2020-11-05T08:34:27.000000Z
